AccountReference,Farm,Farm_Name,Field_ID,Field_Name,Contour_ID,Crop_Type,LY_Crop_Type_MAP,DrillingDate,Soil_Type,Variety,Field Ha,Total Yield,ProductName,Applied date,Quantity kg,kg CO2/kg fert,kg CO2/application,Field fert total kg CO2,Fert kg CO2/t grain,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,18-46-00 Di Ammonium Phosphate,05/04/2022,381.46,0.6981,266,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Ammonium Sulphate,26/02/2022,378.95,0.6,227,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Liquid 30-0-0+10SO3,15/03/2022,498.67,1.4,698,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,5,Point,296,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,3,12.84,Nitram,30/03/2022,654.72,1.25,818,2010,156.56,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Ammonium Sulphate,26/02/2022,1894.74,0.6,1137,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Liquid 30-0-0+10SO3,15/03/2022,2460.21,1.4,3444,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,6,Laines,297,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,LG Areti,15,66.75,Nitram,30/03/2022,3273.59,1.25,4092,8673,129.93,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Ammonium Sulphate,28/02/2022,2400,0.6,1440,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Liquid 30-0-0+10SO3,15/03/2022,3244.64,1.4,4542,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Nitram,30/03/2022,4146.55,1.25,5183,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Poultry Manure,29/07/2021,100,,,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,7,Moores,299,Rape Winter,Winter Barley,16/08/2021,Shallow Chalk,LG Areti,19,86.07,Sewage Sludge,17/08/2021,31500,,,11166,129.73,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,15,Rose Hill,300,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,18-46-00 Di Ammonium Phosphate,05/04/2022,1335.1,0.6981,932,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,15,Rose Hill,300,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,Liquid 30-0-0+10SO3,21/03/2022,3468.9,1.4,4856,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,15,Rose Hill,300,Wheat Winter,Winter Oilseed Rape,26/10/2021,Medium Chalk,KWS Extase,20,203.6,Nitram,10/05/2022,3203.05,1.25,4004,9792,48.10,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,14,Rose Top,301,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,18-46-00 Di Ammonium Phosphate,05/04/2022,1525.83,0.6981,1065,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,14,Rose Top,301,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,Liquid 30-0-0+10SO3,21/03/2022,1418.41,1.4,1986,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,14,Rose Top,301,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,KWS Extase,8,74.16,Nitram,10/05/2022,664.63,1.25,831,3882,52.34,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,13,Park,302,Wheat Winter,Winter Oilseed Rape,22/10/2021,Medium Chalk,KWS Extase,4,45.36,Liquid 30-0-0+10SO3,21/03/2022,746.58,1.4,1045,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,13,Park,302,Wheat Winter,Winter Oilseed Rape,22/10/2021,Medium Chalk,KWS Extase,4,45.36,Nitram,10/05/2022,332.32,1.25,415,1461,32.20,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,8,Pit Field,304,Barley Winter,Winter Wheat,24/09/2021,Medium Chalk,SY Armadillo,20,193.2,18-46-00 Di Ammonium Phosphate,05/04/2022,2574.83,0.6981,1797,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,8,Pit Field,304,Barley Winter,Winter Wheat,24/09/2021,Medium Chalk,SY Armadillo,20,193.2,Liquid 30-0-0+10SO3,15/03/2022,3264.52,1.4,4570,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,8,Pit Field,304,Barley Winter,Winter Wheat,24/09/2021,Medium Chalk,SY Armadillo,20,193.2,Liquid 30-0-0+10SO3,12/04/2022,3887,1.4,5442,11810,61.13,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,9,Round Hill,305,Barley Winter,Winter Wheat,07/10/2021,Medium Chalk,SY Armadillo,19,184.3,18-46-00 Di Ammonium Phosphate,05/04/2022,2860.93,0.6981,1997,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,9,Round Hill,305,Barley Winter,Winter Wheat,07/10/2021,Medium Chalk,SY Armadillo,19,184.3,Liquid 30-0-0+10SO3,15/03/2022,3463.22,1.4,4849,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,9,Round Hill,305,Barley Winter,Winter Wheat,07/10/2021,Medium Chalk,SY Armadillo,19,184.3,Liquid 30-0-0+10SO3,12/04/2022,4103,1.4,5744,12590,68.31,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,10,Chase A,306,Oats Winter,Winter Wheat,09/10/2021,Medium Chalk,Mascani,21,181.23,18-46-00 Di Ammonium Phosphate,05/04/2022,3528.48,0.6981,2463,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Chasewoods Farm,10,Chase A,306,Oats Winter,Winter Wheat,09/10/2021,Medium Chalk,Mascani,21,181.23,Nitram,14/04/2022,1894.74,1.25,2368,4832,26.66,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,56,Milkstand,410,Wheat Winter,NULL,15/10/2021,Medium Chalk,KWS Extase,9,100.26,Liquid 30N,18/05/2022,1148,1.06,1217,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,56,Milkstand,410,Wheat Winter,NULL,15/10/2021,Medium Chalk,KWS Extase,9,100.26,Liquid 30N,19/04/2022,1350,1.06,1431,2648,26.41,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,55,Farm Cottage,411,Wheat Winter,NULL,14/10/2021,Medium Chalk,KWS Extase,8,90.64,Liquid 30N,19/04/2022,1350,1.06,1431,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,55,Farm Cottage,411,Wheat Winter,NULL,14/10/2021,Medium Chalk,KWS Extase,8,90.64,Liquid 30N,18/05/2022,1066,1.06,1130,2561,28.25,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,56,Hellscombe,412,Wheat Winter,Grass,16/10/2021,Medium Chalk,KWS Extase,9,107.37,Liquid 30N,18/05/2022,1214,1.06,1287,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,56,Hellscombe,412,Wheat Winter,Grass,16/10/2021,Medium Chalk,KWS Extase,9,107.37,Liquid 30N,19/04/2022,1940,1.06,2056,3343,31.14,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,57,Whitcombs,416,Wheat Winter,Grass,22/10/2021,Shallow Chalk,KWS Extase,18,209.7,Ammonium Sulphate,07/03/2022,1465.12,0.6,879,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,57,Whitcombs,416,Wheat Winter,Grass,22/10/2021,Shallow Chalk,KWS Extase,18,209.7,Nitram,14/04/2022,3681.82,1.25,4602,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,57,Whitcombs,416,Wheat Winter,Grass,22/10/2021,Shallow Chalk,KWS Extase,18,209.7,Nitram,20/03/2022,3681.82,1.25,4602,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,57,Whitcombs,416,Wheat Winter,Grass,22/10/2021,Shallow Chalk,KWS Extase,18,209.7,Nitram,17/05/2022,2300,1.25,2875,12959,61.80,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,58,Lawtons Field,417,Wheat Winter,NULL,22/10/2021,Medium Chalk,KWS Extase,21,238.14,18-46-00 Di Ammonium Phosphate,07/03/2022,2538.13,0.6981,1772,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,58,Lawtons Field,417,Wheat Winter,NULL,22/10/2021,Medium Chalk,KWS Extase,21,238.14,Ammonium Sulphate,07/03/2022,1716.28,0.6,1030,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,58,Lawtons Field,417,Wheat Winter,NULL,22/10/2021,Medium Chalk,KWS Extase,21,238.14,Nitram,14/04/2022,4295.45,1.25,5369,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,58,Lawtons Field,417,Wheat Winter,NULL,22/10/2021,Medium Chalk,KWS Extase,21,238.14,Nitram,20/03/2022,4295.45,1.25,5369,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,58,Lawtons Field,417,Wheat Winter,NULL,22/10/2021,Medium Chalk,KWS Extase,21,238.14,Nitram,17/05/2022,3100,1.25,3875,17415,73.13,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,60,Southfield,425,Wheat Winter,NULL,28/10/2021,Medium Chalk,KWS Zyatt,20,214,18-46-00 Di Ammonium Phosphate,07/03/2022,2014.39,0.6981,1406,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,60,Southfield,425,Wheat Winter,NULL,28/10/2021,Medium Chalk,KWS Zyatt,20,214,Liquid 30N,19/04/2022,2960,1.06,3138,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,60,Southfield,425,Wheat Winter,NULL,28/10/2021,Medium Chalk,KWS Zyatt,20,214,Nitram,18/05/2022,3500,1.25,4375,8919,41.68,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,61,Black Barn,426,Wheat Winter,NULL,28/10/2021,Shallow Chalk,KWS Zyatt,19,222.11,18-46-00 Di Ammonium Phosphate,07/03/2022,2105.04,0.6981,1470,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,61,Black Barn,426,Wheat Winter,NULL,28/10/2021,Shallow Chalk,KWS Zyatt,19,222.11,Liquid 30N,19/04/2022,2960,1.06,3138,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,61,Black Barn,426,Wheat Winter,NULL,28/10/2021,Shallow Chalk,KWS Zyatt,19,222.11,Nitram,17/05/2022,3600,1.25,4500,9107,41.00,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,62,Clumps,427,Wheat Winter,Winter Oilseed Rape,28/10/2021,Shallow Chalk,KWS Zyatt,20,222.8,18-46-00 Di Ammonium Phosphate,17/03/2022,604.32,0.6981,422,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,62,Clumps,427,Wheat Winter,Winter Oilseed Rape,28/10/2021,Shallow Chalk,KWS Zyatt,20,222.8,Liquid 30N,19/04/2022,2960,1.06,3138,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,62,Clumps,427,Wheat Winter,Winter Oilseed Rape,28/10/2021,Shallow Chalk,KWS Zyatt,20,222.8,Nitram,17/05/2022,3700,1.25,4625,8184,36.73,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,18-46-00 Di Ammonium Phosphate,31/08/2021,929.91,0.6981,649,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,18-46-00 Di Ammonium Phosphate,17/03/2022,705.04,0.6981,492,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,Ammonium Sulphate,07/03/2022,2400,0.6,1440,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,Nitram,30/03/2022,2102.29,1.25,2628,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,Nitram,11/02/2022,1800,1.25,2250,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,Nitram,17/03/2022,3400,1.25,4250,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,Polysulphate,28/02/2022,2781.82,0.0724,201,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,54,Eastleaze,429,Rape Winter,NULL,31/08/2021,Shallow Chalk,Aurelia,17,46.75,MOP 60%,05/04/2022,1235.3,0.28,346,12257,262.17,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,53,Black Gate,431,Rape Winter,NULL,12/08/2021,Shallow Chalk,Aurelia,16,62.62,18-46-00 Di Ammonium Phosphate,12/08/2021,870.09,0.6981,607,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,53,Black Gate,431,Rape Winter,NULL,12/08/2021,Shallow Chalk,Aurelia,16,62.62,Nitram,17/03/2022,2000,1.25,2500,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,53,Black Gate,431,Rape Winter,NULL,12/08/2021,Shallow Chalk,Aurelia,16,62.62,Nitram,30/03/2022,3297.71,1.25,4122,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,53,Black Gate,431,Rape Winter,NULL,12/08/2021,Shallow Chalk,Aurelia,16,62.62,Polysulphate,28/02/2022,2618.18,0.0724,190,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,53,Black Gate,431,Rape Winter,NULL,12/08/2021,Shallow Chalk,Aurelia,16,62.62,MOP 60%,05/04/2022,1764.71,0.28,494,7913,126.37,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,63,Little Down.,432,Beans Dried Spring,Winter Wheat,19/03/2022,Shallow Chalk,Fuego,18,88.92,Polysulphate,15/04/2022,1506.98,0.0724,109,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,64,Peaks,433,Beans Dried Spring,Winter Wheat,19/03/2022,Medium Chalk,Fuego,20,111.8,Polysulphate,15/04/2022,1590.7,0.0724,115,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,59,Lens Field,464,Wheat Winter,Grass,28/10/2021,Shallow Chalk,Skyfall,5,42.1,18-46-00 Di Ammonium Phosphate,07/03/2022,1611.51,0.6981,1125,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,59,Lens Field,464,Wheat Winter,Grass,28/10/2021,Shallow Chalk,Skyfall,5,42.1,Ammonium Sulphate,07/03/2022,418.6,0.6,251,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,59,Lens Field,464,Wheat Winter,Grass,28/10/2021,Shallow Chalk,Skyfall,5,42.1,Nitram,18/05/2022,1100,1.25,1375,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,59,Lens Field,464,Wheat Winter,Grass,28/10/2021,Shallow Chalk,Skyfall,5,42.1,Nitram,14/04/2022,1022.73,1.25,1278,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,59,Lens Field,464,Wheat Winter,Grass,28/10/2021,Shallow Chalk,Skyfall,5,42.1,Nitram,20/03/2022,1022.73,1.25,1278,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,North Farm,59,Lens Field,464,Wheat Winter,Grass,28/10/2021,Shallow Chalk,Skyfall,5,42.1,MOP 60%,19/04/2022,1400,0.28,392,5700,135.39,
LAWT0005|CHAS0002|KING0033|KING0034,1,Coronel Farm,32,Goldies,469,Barley Winter,Winter Wheat,11/10/2021,Shallow Chalk,SY Armadillo,37,332.26,18-46-00 Di Ammonium Phosphate,07/03/2022,3300,0.6981,2304,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Coronel Farm,32,Goldies,469,Barley Winter,Winter Wheat,11/10/2021,Shallow Chalk,SY Armadillo,37,332.26,MOP 60%,19/04/2022,4800,0.28,1344,3648,10.98,
LAWT0005|CHAS0002|KING0033|KING0034,1,Coronel Farm,43,Pork,470,Wheat Winter,Winter Oilseed Rape,25/10/2021,Medium Chalk,LG Illuminate,12,123.24,Liquid 30N,15/05/2022,2455,1.06,2602,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Coronel Farm,43,Pork,470,Wheat Winter,Winter Oilseed Rape,25/10/2021,Medium Chalk,LG Illuminate,12,123.24,Liquid 30N,13/04/2022,1933,1.06,2049,4651,37.74,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,31,Moonlight,520,Barley Winter,Spring Wheat,09/10/2021,Shallow Chalk,SY Thunderbolt,25,241,Nitram,03/05/2022,3507.31,1.25,4384,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,31,Moonlight,520,Barley Winter,Spring Wheat,09/10/2021,Shallow Chalk,SY Thunderbolt,25,241,MOP 60%,13/04/2022,3218.72,0.28,901,5285,21.93,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,51,Mercylands,521,Barley Spring,Winter Wheat,26/03/2022,Medium Chalk,Laureate,20,169,18-46-00 Di Ammonium Phosphate,26/03/2022,1939.39,0.6981,1354,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,51,Mercylands,521,Barley Spring,Winter Wheat,26/03/2022,Medium Chalk,Laureate,20,169,Liquid 30N,02/05/2022,4550,1.06,4823,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,51,Mercylands,521,Barley Spring,Winter Wheat,26/03/2022,Medium Chalk,Laureate,20,169,MOP 60%,19/04/2022,975.37,0.28,273,6450,38.17,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,42,Trenches 05,522,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,Graham,33,332.64,Liquid 30N,15/05/2022,6440,1.06,6826,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,42,Trenches 05,522,Wheat Winter,Winter Oilseed Rape,24/10/2021,Medium Chalk,Graham,33,332.64,MOP 60%,13/04/2022,5559.61,0.28,1557,8383,25.20,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,30,Long Lane 14,523,Barley Winter,Winter Wheat,09/10/2021,Medium Chalk,SY Thunderbolt,7,62.79,Nitram,03/05/2022,982.05,1.25,1228,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,30,Long Lane 14,523,Barley Winter,Winter Wheat,09/10/2021,Medium Chalk,SY Thunderbolt,7,62.79,MOP 60%,13/04/2022,1273.93,0.28,357,1584,25.23,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,40,Leighs Meadow 14,524,Wheat Winter,Winter Oilseed Rape,18/10/2021,Medium Chalk,Graham,20.5,220.785,Nitram,12/05/2022,3931.95,1.25,4915,4915,22.26,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase Grassland,35,Woodsend.,525,Wheat Winter,NULL,15/10/2021,Medium Chalk,Graham,10.5,117.915,Nitram,12/05/2022,1769.38,1.25,2212,2212,18.76,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,19,Neates Field 2016,527,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,Acacia,14,51.8,18-46-00 Di Ammonium Phosphate,14/08/2021,1773.76,0.6981,1238,,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,19,Neates Field 2016,527,Rape Winter,Winter Barley,14/08/2021,Medium Chalk,Acacia,14,51.8,Ammonium Sulphate,26/02/2022,1750,0.6,1050,2288,44.17,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase Grassland,34,Kinghams,528,Wheat Winter,NULL,15/10/2021,Medium Chalk,Graham,6.5,75.53,Nitram,12/05/2022,1150.09,1.25,1438,1438,19.03,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,36,18 September,529,Wheat Winter,Winter Oilseed Rape,16/10/2021,Shallow Chalk,Graham,14.5,153.555,Nitram,12/05/2022,2850.66,1.25,3563,3563,23.21,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,33,The Chase.,530,Wheat Winter,Spring Beans,12/10/2021,Medium Chalk,KWS Extase,20,223.2,Nitram,12/05/2022,3538.75,1.25,4423,4423,19.82,
